type,n,repeat,path,ns_per_dot
turbo2_0,128,0,malloc,301.45
turbo2_0,128,0,bounded,299.83
turbo2_0,128,1,bounded,300.29
turbo2_0,128,1,malloc,300.47
turbo2_0,128,2,malloc,300.81
turbo2_0,128,2,bounded,241.85
turbo2_0,128,3,bounded,235.71
turbo2_0,128,3,malloc,199.20
turbo2_0,128,4,malloc,200.41
turbo2_0,128,4,bounded,197.80
turbo2_0,256,0,malloc,417.05
turbo2_0,256,0,bounded,393.08
turbo2_0,256,1,bounded,390.51
turbo2_0,256,1,malloc,416.65
turbo2_0,256,2,malloc,418.66
turbo2_0,256,2,bounded,392.05
turbo2_0,256,3,bounded,392.59
turbo2_0,256,3,malloc,417.35
turbo2_0,256,4,malloc,417.24
turbo2_0,256,4,bounded,391.53
turbo2_0,512,0,malloc,867.54
turbo2_0,512,0,bounded,780.98
turbo2_0,512,1,bounded,776.88
turbo2_0,512,1,malloc,869.37
turbo2_0,512,2,malloc,868.98
turbo2_0,512,2,bounded,776.09
turbo2_0,512,3,bounded,729.22
turbo2_0,512,3,malloc,737.92
turbo2_0,512,4,malloc,680.39
turbo2_0,512,4,bounded,557.54
turbo2_0,4096,0,malloc,4836.58
turbo2_0,4096,0,bounded,4301.36
turbo2_0,4096,1,bounded,4300.14
turbo2_0,4096,1,malloc,4837.17
turbo2_0,4096,2,malloc,4843.70
turbo2_0,4096,2,bounded,4322.10
turbo2_0,4096,3,bounded,4303.13
turbo2_0,4096,3,malloc,4839.40
turbo2_0,4096,4,malloc,4835.41
turbo2_0,4096,4,bounded,4305.21
turbo3_0,128,0,malloc,168.00
turbo3_0,128,0,bounded,168.35
turbo3_0,128,1,bounded,168.42
turbo3_0,128,1,malloc,169.92
turbo3_0,128,2,malloc,167.93
turbo3_0,128,2,bounded,168.52
turbo3_0,128,3,bounded,168.51
turbo3_0,128,3,malloc,168.07
turbo3_0,128,4,malloc,168.72
turbo3_0,128,4,bounded,173.53
turbo3_0,256,0,malloc,342.31
turbo3_0,256,0,bounded,333.76
turbo3_0,256,1,bounded,334.35
turbo3_0,256,1,malloc,337.89
turbo3_0,256,2,malloc,337.30
turbo3_0,256,2,bounded,335.74
turbo3_0,256,3,bounded,334.70
turbo3_0,256,3,malloc,339.84
turbo3_0,256,4,malloc,337.73
turbo3_0,256,4,bounded,339.29
turbo3_0,512,0,malloc,695.30
turbo3_0,512,0,bounded,670.71
turbo3_0,512,1,bounded,668.22
turbo3_0,512,1,malloc,696.35
turbo3_0,512,2,malloc,694.74
turbo3_0,512,2,bounded,669.22
turbo3_0,512,3,bounded,672.50
turbo3_0,512,3,malloc,694.08
turbo3_0,512,4,malloc,690.22
turbo3_0,512,4,bounded,674.99
turbo3_0,4096,0,malloc,5409.16
turbo3_0,4096,0,bounded,5316.99
turbo3_0,4096,1,bounded,5331.10
turbo3_0,4096,1,malloc,5426.82
turbo3_0,4096,2,malloc,5444.04
turbo3_0,4096,2,bounded,5319.42
turbo3_0,4096,3,bounded,5321.72
turbo3_0,4096,3,malloc,5397.62
turbo3_0,4096,4,malloc,5405.76
turbo3_0,4096,4,bounded,5316.61
turbo4_0,128,0,malloc,137.55
turbo4_0,128,0,bounded,137.77
turbo4_0,128,1,bounded,137.84
turbo4_0,128,1,malloc,137.72
turbo4_0,128,2,malloc,137.75
turbo4_0,128,2,bounded,137.65
turbo4_0,128,3,bounded,137.80
turbo4_0,128,3,malloc,137.70
turbo4_0,128,4,malloc,137.84
turbo4_0,128,4,bounded,137.76
turbo4_0,256,0,malloc,288.27
turbo4_0,256,0,bounded,272.91
turbo4_0,256,1,bounded,272.30
turbo4_0,256,1,malloc,289.10
turbo4_0,256,2,malloc,288.25
turbo4_0,256,2,bounded,271.46
turbo4_0,256,3,bounded,271.82
turbo4_0,256,3,malloc,290.42
turbo4_0,256,4,malloc,288.25
turbo4_0,256,4,bounded,273.04
turbo4_0,512,0,malloc,601.34
turbo4_0,512,0,bounded,541.75
turbo4_0,512,1,bounded,541.59
turbo4_0,512,1,malloc,602.99
turbo4_0,512,2,malloc,601.10
turbo4_0,512,2,bounded,544.97
turbo4_0,512,3,bounded,542.22
turbo4_0,512,3,malloc,601.38
turbo4_0,512,4,malloc,601.73
turbo4_0,512,4,bounded,541.51
turbo4_0,4096,0,malloc,4823.00
turbo4_0,4096,0,bounded,4312.06
turbo4_0,4096,1,bounded,4326.08
turbo4_0,4096,1,malloc,4819.31
turbo4_0,4096,2,malloc,4822.28
turbo4_0,4096,2,bounded,4324.04
turbo4_0,4096,3,bounded,4322.38
turbo4_0,4096,3,malloc,4822.02
turbo4_0,4096,4,malloc,4819.57
turbo4_0,4096,4,bounded,4318.60
