repeat,kv,queries,cache_type,us_per_run
1,512,1,f16,15.73
1,512,1,q8_0,15.56
1,512,1,q4_0,15.29
1,512,1,turbo4_0,29.48
1,512,128,f16,97.21
1,512,128,q8_0,173.47
1,512,128,q4_0,174.92
1,512,128,turbo4_0,351.07
1,4096,1,f16,66.94
1,4096,1,q8_0,52.92
1,4096,1,q4_0,47.97
1,4096,1,turbo4_0,91.78
1,4096,128,f16,697.02
1,4096,128,q8_0,1193.06
1,4096,128,q4_0,1273.32
1,4096,128,turbo4_0,2268.64
1,16384,1,f16,224.28
1,16384,1,q8_0,161.16
1,16384,1,q4_0,146.88
1,16384,1,turbo4_0,299.14
1,16384,128,f16,2895.12
1,16384,128,q8_0,5748.07
1,16384,128,q4_0,5485.27
1,16384,128,turbo4_0,9153.82
2,512,1,f16,16.84
2,512,1,q8_0,15.51
2,512,1,q4_0,15.31
2,512,1,turbo4_0,29.53
2,512,128,f16,96.91
2,512,128,q8_0,159.36
2,512,128,q4_0,164.68
2,512,128,turbo4_0,360.09
2,4096,1,f16,67.25
2,4096,1,q8_0,53.11
2,4096,1,q4_0,47.97
2,4096,1,turbo4_0,92.02
2,4096,128,f16,695.00
2,4096,128,q8_0,1290.61
2,4096,128,q4_0,1257.47
2,4096,128,turbo4_0,2284.67
2,16384,1,f16,223.91
2,16384,1,q8_0,161.69
2,16384,1,q4_0,146.62
2,16384,1,turbo4_0,299.20
2,16384,128,f16,2893.18
2,16384,128,q8_0,5915.51
2,16384,128,q4_0,5576.13
2,16384,128,turbo4_0,9178.61
3,512,1,f16,16.87
3,512,1,q8_0,15.65
3,512,1,q4_0,15.32
3,512,1,turbo4_0,29.55
3,512,128,f16,90.46
3,512,128,q8_0,173.69
3,512,128,q4_0,177.59
3,512,128,turbo4_0,359.48
3,4096,1,f16,67.21
3,4096,1,q8_0,53.05
3,4096,1,q4_0,48.05
3,4096,1,turbo4_0,91.78
3,4096,128,f16,743.22
3,4096,128,q8_0,1236.12
3,4096,128,q4_0,1281.37
3,4096,128,turbo4_0,2288.24
3,16384,1,f16,223.88
3,16384,1,q8_0,160.82
3,16384,1,q4_0,146.71
3,16384,1,turbo4_0,298.95
3,16384,128,f16,2941.21
3,16384,128,q8_0,5605.32
3,16384,128,q4_0,5384.11
3,16384,128,turbo4_0,9160.23
