variant,repeat,operator,us_per_run
scalar-perf,1,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",2.44
scalar-perf,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",3.88
scalar-perf,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",16.07
scalar-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",73.47
scalar-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2138.01
scalar-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",248.64
scalar-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",8651.13
scalar-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",841.95
scalar-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",33812.03
scalar-perf,2,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",2.56
scalar-perf,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",3.87
scalar-perf,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",15.62
scalar-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",57.27
scalar-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2231.86
scalar-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",249.87
scalar-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",9211.99
scalar-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",867.59
